year,president,vicePresident,sp500,gainTo,gallonOfMilk,loafOfBread,gallonOfGas,newHome,newCar,wages,baseball,superbowl,popularGirl,popularBoy,popularMovie,popularActor,popularActress,populartvShow,timePerson,chineseYear,hipHopMusic,popMusic,actors_image,actresses_image,movies_image,presidents_image,vice_presidents_image,time_persons_image,cars_image,gas_image,bread_image,milk_image
1951,Harry S. Truman,Alben W. Barkley,21.21,12074%,$0.25 ,$0.17 ,$0.27 ,"$9,000 ","Cadallic Series 62 Eldorado $4,738-$6,286","$3,217 ",New York Yankees,Nobody (Superbowl not started in this year),Linda,James,All About Eve,"Jose Ferrer, Cyrano de Bergerac","Judy Holliday, Born Yesterday",New York Yankees,Mohammad Mossedegh,Rabbit,"""Sixty Minute Man"" The Dominoes","""Too Young"" Nat King Cole",/images/actors/1951.jpg,/images/actresses/1951.jpg,/images/movies/1951.jpg,/images/presidents/33_Harry_S_Truman.jpg,/images/vice_presidents/Alben_Barkley.jpg,/images/time_persons/Mossadeghmohammad.jpg,/images/cars/1951.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1952,Harry S. Truman,Alben W. Barkley,24.19,10574%,$0.25 ,$0.17 ,$0.27 ,"$9,050 ","Dodge Coronet $1,895","$3,402 ",New York Yankees,Nobody (Superbowl not started in this year),Linda,James,An American in Paris,"Humphrey Bogart, The African Queen","Vivien Leigh, Streetcar Named Desire",New York Yankees,Queen Elizabeth II,Dragon,"""Lawdy Miss Clawdy"" Lloyd Price","""Blue Tango"" Leroy Anderson",/images/actors/1952.jpg,/images/actresses/1952.jpg,/images/movies/1952.jpg,/images/presidents/33_Harry_S_Truman.jpg,/images/vice_presidents/Alben_Barkley.jpg,/images/time_persons/Queen_Elizabeth_II_-_1953-Dress.JPG,/images/cars/1952.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1953,Dwight D. Eisenhower,Richard Nixon,26.18,9763%,$0.26 ,$0.18 ,$0.29 ,"$9,550 ","Buick Riviera $1,995","$2,581 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,The Greatest Show on Earth,"Gary Cooper, High Noon","Shirley Booth, Come Back, Little Sheba",New York Yankees,Konrad Adenauer,Snake,"""(Mama) He Treats Your Daughter Mean"" Ruth Brown","""Song from Moulin Rouge"" Percy Faith",/images/actors/1953.jpg,/images/actresses/1953.jpg,/images/movies/1953.jpg,/images/presidents/34_Dwight_D_Eisenhower.jpg,/images/vice_presidents/Richard_Nixon_official_portrait_as_Vice_President.tiff.jpg,"/images/time_persons/Bundesarchiv_B_145_Bild-F078072-0004,_Konrad_Adenauer.jpg",/images/cars/1953.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1954,Dwight D. Eisenhower,Richard Nixon,25.46,10042%,$0.26 ,$0.18 ,$0.29 ,"$10,250 ","Pontiac Club Coupe $2,195","$3,667 ",New York Giants,Nobody (Superbowl not started in this year),Mary,Michael,From Here to Eternity,"William Holden, Stalag 17","Audrey Hepburn, Roman Holiday",New York Giants,John Foster Dulles,Horse,"""Work With Me, Annie"" Midnighters","""Little Things Mean a Lot"" Kitty Kallen",/images/actors/1954.jpg,/images/actresses/1954.jpg,/images/movies/1954.jpg,/images/presidents/34_Dwight_D_Eisenhower.jpg,/images/vice_presidents/Richard_Nixon_official_portrait_as_Vice_President.tiff.jpg,/images/time_persons/JohnFosterDulles.jpeg,/images/cars/1954.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1955,Dwight D. Eisenhower,Richard Nixon,35.6,7153%,$0.26 ,$0.19 ,$0.29 ,"$10,950 ","Ford Fairlane $1,914 - $2,272","$3,851 ",Brooklyn Dodgers,Nobody (Superbowl not started in this year),Mary,Michael,On the Waterfront,"Marlon Brando, On the Waterfront","Grace Kelly, The Country Girl",Brooklyn Dodgers,Harlow Curtice,Goat,"""Pledging My Love"" Johnny Ace","""Cherry Pink and Apple Blossom White"" Perez Prado",/images/actors/1955.jpg,/images/actresses/1955.jpg,/images/movies/1955.jpg,/images/presidents/34_Dwight_D_Eisenhower.jpg,/images/vice_presidents/Richard_Nixon_official_portrait_as_Vice_President.tiff.jpg,"/images/time_persons/Mr._Harlow_H._Curtice,_General_Manager._Buick_Motor_Division.jpg",/images/cars/1955.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1956,Dwight D. Eisenhower,Richard Nixon,44.15,5749%,$0.27 ,$0.19 ,$0.30 ,"$11,700 ","Plymouth Fury $2,866","$4,055 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Michael,Marty,"Ernest Borgnine, Marty","Anna Magnani, The Rose Tattoo",New York Yankees,The Hungarian freedom fighter,Monkey,"""Honky Tonk"" Bill Doggett","""Heartbreak Hotel"" Elvis Presley",/images/actors/1956.jpg,/images/actresses/1956.jpg,/images/movies/1956.jpg,/images/presidents/34_Dwight_D_Eisenhower.jpg,/images/vice_presidents/Richard_Nixon_official_portrait_as_Vice_President.tiff.jpg,/images/time_persons/hungarian_freedom_fighter.jpg,/images/cars/1956.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1957,Dwight D. Eisenhower,Richard Nixon,45.43,5584%,$0.29 ,$0.20 ,$0.31 ,"$12,220 ","Pontiac Bonneville $5,782","$4,230 ",Milwaukee Braves,Nobody (Superbowl not started in this year),Mary,Michael,Around the World in 80 Days,"Yul Brenner, The King and I","Ingrid Bergman, Anastasia",Milwaukee Braves,Nikita Khrushchev,Rooster,"Jailhouse Rock""/""Treat Me Nice"" Elvis Presley","""All Shook Up"" Elvis Presley",/images/actors/1957.jpg,/images/actresses/1957.jpg,/images/movies/1957.jpg,/images/presidents/34_Dwight_D_Eisenhower.jpg,/images/vice_presidents/Richard_Nixon_official_portrait_as_Vice_President.tiff.jpg,"/images/time_persons/Bundesarchiv_Bild_183-B0628-0015-035,_Nikita_S._Chruschtschow.jpg",/images/cars/1957.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1958,Dwight D. Eisenhower,Richard Nixon,41.12,6180%,$0.30 ,$0.21 ,$0.30 ,"$12,750 ","Ford Thunderbird $3,631 - $4,222","$4,375 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Michael,The Bridge on the River Kwai,"Alec Guiness, The Bridge on the River Kwai","Joanne Woodwood, Three Faces of Eve",New York Yankees,Charles de Gaulle,Dog,"What Am I Loving For""/""Hang Up My Rock & Roll Shoes"" Chuck Willis","""Nel Blu Dipinto di Blu (Volare)"" Domenico Modugno",/images/actors/1958.jpg,/images/actresses/1958.jpg,/images/movies/1958.jpg,/images/presidents/34_Dwight_D_Eisenhower.jpg,/images/vice_presidents/Richard_Nixon_official_portrait_as_Vice_President.tiff.jpg,/images/time_persons/de_Gaulle.jpg,/images/cars/1958.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1959,Dwight D. Eisenhower,Richard Nixon,55.62,4542%,$0.31 ,$0.22 ,$0.30 ,"$12,400 ","Buick Opel Caravan Wagon $2,292.60","$4,594 ",Los Angeles Dodgers,Nobody (Superbowl not started in this year),Mary,Michael,Gigi,"David Niven, Separate Tables","Susan Hayward, I Want to Live!",Los Angeles Dodgers,Dwight D. Eisenhower,Pig,"""Stagger Lee"" Lloyd Price","""The Battle of New Orleans"" ",/images/actors/1959.jpg,/images/actresses/1959.jpg,/images/movies/1959.jpg,/images/presidents/34_Dwight_D_Eisenhower.jpg,/images/vice_presidents/Richard_Nixon_official_portrait_as_Vice_President.tiff.jpg,"/images/time_persons/Dwight_D._Eisenhower,_official_photo_portrait,_May_29,_1959.jpg",/images/cars/1959.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1960,Dwight D. Eisenhower,Richard Nixon,58.03,4350%,$0.32 ,$0.23 ,$0.31 ,"$14,700 ","Average price of a new car $2,752","$4,743 ",Pittsburgh Pirates,Nobody (Superbowl not started in this year),Mary,David,Ben-Hur,"Charlton Heston, Ben-Hur","Simone Signoret, Room at the Top",Pittsburgh Pirates,US Scientists,Rat,"""Kiddio"" Brook Benton","Theme from ""A Summer Place"" Percy Faith",/images/actors/1960.jpg,/images/actresses/1960.jpg,/images/movies/1960.jpg,/images/presidents/34_Dwight_D_Eisenhower.jpg,/images/vice_presidents/Richard_Nixon_official_portrait_as_Vice_President.tiff.jpg,/images/time_persons/US-scientists.png,/images/cars/1960.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1961,John F. Kennedy,Lyndon B. Johnson,59.72,4224%,$0.32 ,$0.24 ,$0.31 ,"$16,500 ","Chrysler Newport $2,964","$4,884 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Michael,The Apartment,"Burt Lancaster, Elmer Gantry","Elizabeth Taylor, Butterfield 8",New York Yankees,John F. Kennedy,Ox,"""Tossin' and Turnin'"" Bobby Lewis","""Tossin' and Turnin'"" Bobby Lewis",/images/actors/1961.jpg,/images/actresses/1961.jpg,/images/movies/1961.jpg,/images/presidents/35_John_F_Kennedy.jpg,"/images/vice_presidents/Lyndon_B._Johnson._Waist_length,_seated_-_NARA_-_518140.jpg","/images/time_persons/John_F._Kennedy,_White_House_color_photo_portrait.jpg",/images/cars/1961.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1962,John F. Kennedy,Lyndon B. Johnson,69.07,3638%,$0.31 ,$0.24 ,$0.31 ,"$18,100 ","Peugeot $1,895","$5,065 ",New York Yankees,Nobody (Superbowl not started in this year),Lisa,Michael,West Side Story,"Maximilian Schell, Judgement at Nuremberg","Sophia Loren, La Ciociara",New York Yankees,Pope John XXIII,Tiger,"""Soul Twist"" King Curtis","""Stranger on the Shore"" Mr. Acker Bilk",/images/actors/1962.jpg,/images/actresses/1962.jpg,/images/movies/1962.jpg,/images/presidents/35_John_F_Kennedy.jpg,"/images/vice_presidents/Lyndon_B._Johnson._Waist_length,_seated_-_NARA_-_518140.jpg",/images/time_persons/800px-Pope_John_XXIII_-_1959.jpg,/images/cars/1962.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1963,John F. Kennedy,Lyndon B. Johnson,65.06,3869%,$0.27 ,$0.25 ,$0.30 ,"$19,250 ","Ford Fastback Coupe $3,095","$5,243 ",Los Angeles Dodgers,Nobody (Superbowl not started in this year),Lisa,Michael,Lawrence of Arabia,"Gregory Peck, To Kill a Mockingbird","Anne Bancroft, The Miracle Worker",Los Angeles Dodgers,"Martin Luther King, Jr.",Rabbit,"""Part Time Love"" Little Johnny Taylor","""Sugar Shack"" Jimmy Gilmer and the Fireballs",/images/actors/1963.jpg,/images/actresses/1963.jpg,/images/movies/1963.jpg,/images/presidents/35_John_F_Kennedy.jpg,"/images/vice_presidents/Lyndon_B._Johnson._Waist_length,_seated_-_NARA_-_518140.jpg",/images/time_persons/800px-Martin_Luther_King_Jr_NYWTS.jpg,/images/cars/1963.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1964,Lyndon B. Johnson,nobody (Position Vacant),76.45,3278%,$0.31 ,$0.24 ,$0.30 ,"$20,500 ","Pontiac Grand Prix $2,895","$5,503 ",St Louis Cardinals,Nobody (Superbowl not started in this year),Lisa,Michael,Tom Jones,"Sidney Poitier, Lilies of the Field","Patricia Neal, Hud",St Louis Cardinals,Lyndon B. Johnson,Dragon,-,"""I Want to Hold Your Hand"" The Beatles",/images/actors/1964.jpg,/images/actresses/1964.jpg,/images/movies/1964.jpg,"/images/presidents/Lyndon_B._Johnson._Waist_length,_seated_-_NARA_-_518140.jpg.jpg",/images/vice_presidents/default_image.png,/images/time_persons/37_Lbj2_3x4.jpg,/images/cars/1964.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1965,Lyndon B. Johnson,Hubert Humphrey,86.12,2898%,$0.30 ,$0.24 ,$0.31 ,"$21,500 ","Average price of a new car $2,650","$5,710 ",Los Angeles Dodgers,Nobody (Superbowl not started in this year),Lisa,Michael,My Fair Lady,"Rex Harrison, My Fair Lady","Julie Andrews, Mary Poppins",Los Angeles Dodgers,William Westmoreland,Snake,"""I Can't Help Myself (Sugar Pie Honey Bunch)"" Four Tops","""Wooly Bully"" Sam the Sham & the Pharaohs",/images/actors/1965.jpg,/images/actresses/1965.jpg,/images/movies/1965.jpg,"/images/presidents/Lyndon_B._Johnson._Waist_length,_seated_-_NARA_-_518140.jpg.jpg",/images/vice_presidents/Hubert_H_Humphrey_3x4.jpg,/images/time_persons/800px-Gen_William_C_Westmoreland.jpg,/images/cars/1965.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1966,Lyndon B. Johnson,Hubert Humphrey,93.32,2667%,$0.31 ,$0.25 ,$0.32 ,"$23,300 ","Average price of a new car $2,650","$5,961 ",Baltimore Orioles,Nobody (Superbowl not started in this year),Lisa,Michael,The Sound of Music,"Lee Marvin, Cat Ballou","Julie Christie, Darling",Baltimore Orioles,The Inheritor,Horse,"""Hold On! I'm Comin'"" Sam & Dave","""Ballad of the Green Berets""
S/Sgt. Barry Sadler",/images/actors/1966.jpg,/images/actresses/1966.jpg,/images/movies/1966.jpg,"/images/presidents/Lyndon_B._Johnson._Waist_length,_seated_-_NARA_-_518140.jpg.jpg",/images/vice_presidents/Hubert_H_Humphrey_3x4.jpg,/images/time_persons/the_inheritor.svg.png,/images/cars/1966.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1967,Lyndon B. Johnson,Hubert Humphrey,84.45,2958%,$0.31 ,$0.25 ,$0.33 ,"$24,600 ","Average price of a new car $2,750","$6,230 ",St Louis Cardinals,Green Bay Packers,Lisa,Michael,A Man for All Seasons,"Paul Scofield, A Man for All Seasons","Elizabeth Taylor, Who's Afraid of Virginia Woolf?",St Louis Cardinals,Lyndon B. Johnson,Goat,"""Respect"" Aretha Franklin","""To Sir with Love"" Lulu",/images/actors/1967.jpg,/images/actresses/1967.jpg,/images/movies/1967.jpg,"/images/presidents/Lyndon_B._Johnson._Waist_length,_seated_-_NARA_-_518140.jpg.jpg",/images/vice_presidents/Hubert_H_Humphrey_3x4.jpg,/images/time_persons/37_Lbj2_3x4.jpg,/images/cars/1967.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1968,Lyndon B. Johnson,Hubert Humphrey,95.04,2617%,$0.32 ,$0.26 ,$0.34 ,"$26,600 ","Datsun wagon $2,196","$6,657 ",Detroit Tigers,Green Bay Packers,Lisa,Michael,In the Heat of the Night,"Rod Steiger, In the Heat of the Night","Katharine Hepburn, Guess Who's Coming to Dinner",Detroit Tigers,The Apollo 8 astronauts,Monkey,"""Say It Loud ﾖ I'm Black and I'm Proud"" James Brown","""Hey Jude"" The Beatles",/images/actors/1968.jpg,/images/actresses/1968.jpg,/images/movies/1968.jpg,"/images/presidents/Lyndon_B._Johnson._Waist_length,_seated_-_NARA_-_518140.jpg.jpg",/images/vice_presidents/Hubert_H_Humphrey_3x4.jpg,/images/time_persons/800px-Apollo_8_Crewmembers_-_GPN-2000-001125.jpg,/images/cars/1968.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1969,Richard Nixon,Spiro Agnew,102,2432%,$0.33 ,$0.27 ,$0.35 ,"$27,900 ","Toyota Corona $1,950","$7,095 ",New York Mets,New York Jets,Lisa,Michael,Oliver!,"Cliff Robertson, Charly","Barbra Streisand, Funny Girl & Katharine Hepburn, Lion in Wnter",New York Mets,The Middle Americans,Rooster,"""What Does It Take (To Win Your Love)"" Jr. Walker and the All Stars","""Sugar, Sugar"" The Archies",/images/actors/1969.jpg,/images/actresses/1969.jpg,/images/movies/1969.jpg,/images/presidents/37_Richard_Nixon.jpg,/images/vice_presidents/Spiro_Agnew.jpg,/images/time_persons/middle_americans.png,/images/cars/1969.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1970,Richard Nixon,Spiro Agnew,90.31,2759%,$0.36 ,$0.29 ,$0.36 ,"$26,600 ","Average price of a new car $3,542","$7,564 ",Baltimore Orioles,Kansas City Chiefs,Jennifer,Michael,Midnight Cowboy,"John Wayne, True Grit","Maggie Smith, The Prime of Miss Jean Brodie",Baltimore Orioles,Willy Brandt,Dog,"""I'll Be There"" Jackson 5","""Bridge over Troubled Water"" Simon & Garfunkel",/images/actors/1970.jpg,/images/actresses/1970.jpg,/images/movies/1970.jpg,/images/presidents/37_Richard_Nixon.jpg,/images/vice_presidents/Spiro_Agnew.jpg,"/images/time_persons/Bundesarchiv_B_145_Bild-F057884-0009,_Willy_Brandt.jpg",/images/cars/1970.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1971,Richard Nixon,Spiro Agnew,93.49,2662%,$0.37 ,$0.30 ,$0.36 ,"$28,300 ","Volkswagen sedan $2,999","$7,095 ",Pittsburgh Pirates,Baltimore Colts,Jennifer,Michael,Patton,"George C. Scott, Patton ","Glenda Jackson, Women in Love",Pittsburgh Pirates,Richard Nixon,Pig,"""Mr. Big Stuff"" Jean Knight","""Joy to the World"" Three Dog Night",/images/actors/1971.jpg,/images/actresses/1971.jpg,/images/movies/1971.jpg,/images/presidents/37_Richard_Nixon.jpg,/images/vice_presidents/Spiro_Agnew.jpg,"/images/time_persons/800px-Richard_M._Nixon,_ca._1935_-_1982_-_NARA_-_530679.jpg",/images/cars/1971.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1972,Richard Nixon,Spiro Agnew,103.3,2400%,$0.37 ,$0.30 ,$0.36 ,"$30,500 ","Renault 12 Sedan $2,295",N/A,Oakland Athletics,Dallas Cowboys,Jennifer,Michael,The French Connection,"Gene Hackman, The French Connection","Jane Fonda, Klute",Oakland Athletics,Richard Nixon & Henry Kissinger,Rat,"""Let's Stay Together"" Al Green","""The First Time Ever I Saw Your Face"" Roberta Flack",/images/actors/1972.jpg,/images/actresses/1972.jpg,/images/movies/1972.jpg,/images/presidents/37_Richard_Nixon.jpg,/images/vice_presidents/Spiro_Agnew.jpg,/images/time_persons/800px-Henry_Kissinger.jpg,/images/cars/1972.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1973,Richard Nixon,Gerald Ford,118.4,2081%,$0.41 ,$0.33 ,$0.39 ,"$35,500 ","AMC Javelin $2,900",N/A,Oakland Athletics,Miami Dolphins,Jennifer,Michael,The Godfather,"Marlon Brando, The Godfather ","Liza Minelli, Cabaret",Oakland Athletics,John Sirica,Ox,"""Let's Get It On"" Marvin Gaye","""Tie a Yellow Ribbon 'Round the Ole Oak Tree"" Tony Orlando and Dawn",/images/actors/1973.jpg,/images/actresses/1973.jpg,/images/movies/1973.jpg,/images/presidents/37_Richard_Nixon.jpg,/images/vice_presidents/Gerald_Ford.jpg,/images/time_persons/John_sirica.JPG,/images/cars/1973.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1974,Gerald Ford,nobody (Position Vacant),96.11,2587%,$0.42 ,$0.41 ,$0.53 ,"$38,900 ","Average cost of a new car $3,750",N/A,Oakland Athletics,Miami Dolphins,Jennifer,Michael,The Sting,"Jack Lemmon, Save the Tiger","Glenda Jackson, Touch of Class",Oakland Athletics,King Faisal,Tiger,"""Feel Like Makin' Love"" Roberta Flack","""The Way We Were"" Barbra Streisand",/images/actors/1974.jpg,/images/actresses/1974.jpg,/images/movies/1974.jpg,/images/presidents/38_Gerald_Ford.jpg,/images/vice_presidents/,/images/time_persons/King_Faisal_of_Saudi_Arabia_on_on_arrival_ceremony_welcoming_05-27-1971_(cropped).jpg,/images/cars/1974.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1975,Gerald Ford,Nelson Rockefeller,90.19,2763%,$0.41 ,$0.42 ,$0.57 ,"$42,600 ","Average cost of a new car $4,950",N/A,Cincinnati Reds,Pittsburgh Steelers,Jennifer,Michael,The Godfather II,"Art Carney, Harry and Tonto","Ellen Burstyn, Alice Doesn't Live Here Anymore",Cincinnati Reds,American women,Rabbit,"""Fight the Power Pt. 1"" Isley Brothers","""Love Will Keep Us Together"" Captain & Tennille",/images/actors/1975.jpg,/images/actresses/1975.jpg,/images/movies/1975.jpg,/images/presidents/38_Gerald_Ford.jpg,/images/vice_presidents/Nelson_Rockefeller.jpg,/images/time_persons/american_women.jpg,/images/cars/1975.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1976,Gerald Ford,Nelson Rockefeller,107.46,2303%,$0.43 ,$0.42 ,$0.60 ,"$48,000 ","Volkswagen Rabbit $3,500",N/A,Cincinnati Reds,Pittsburgh Steelers,Jennifer,Michael,One Flew Over the Cuckoo's Nest,"Jack Nicholson, One Flew Over the Cuckoo's Next","Louise Fletcher, One Flew Over the Cuckoo's Next",Cincinnati Reds,Jimmy Carter,Dragon,"""Disco Lady"" Johnnie Taylor",Silly Love Songs Paul McCartney and Wings,/images/actors/1976.jpg,/images/actresses/1976.jpg,/images/movies/1976.jpg,/images/presidents/38_Gerald_Ford.jpg,/images/vice_presidents/Nelson_Rockefeller.jpg,/images/time_persons/JimmyCarterPortrait2.jpg,/images/cars/1976.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1977,Jimmy Carter,Walter Mondale,95.1,2615%,$0.43 ,$0.41 ,$0.64 ,"$54,200 ","Oldsmobile Cutlass $4,811",N/A,New York Yankees,Oakland Raiders,Jennifer,Michael,Rocky,"Peter Finch, Network","Faye Dunaway, Network",New York Yankees,Anwar Sadat,Snake,"""Float On"" The Floaters","""Tonight's the Night (Gonna Be Alright)"" Rod Stewart",/images/actors/1977.jpg,/images/actresses/1977.jpg,/images/movies/1977.jpg,/images/presidents/39_Jimmy_Carter.jpg,/images/vice_presidents/U.S_Vice-President_Walter_Mondale.jpg,/images/time_persons/Anwar_Sadat_cropped.jpg,/images/cars/1977.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1978,Jimmy Carter,Walter Mondale,96.73,2569%,$0.84 ,$0.36 ,$0.65 ,"$62,500 ","Chevrolet Camero Z28 $6,326",N/A,New York Yankees,Dallas Cowboys,Jennifer,Michael,Annie Hall,"Richard Dreyfuss, The Goodbye Girl","Diane Keaton, Annie Hall",New York Yankees,Deng Xiaoping,Horse,"""Serpentine Fire"" Earth, Wind & Fire","""Shadow Dancing"" Andy Gibb",/images/actors/1978.jpg,/images/actresses/1978.jpg,/images/movies/1978.jpg,/images/presidents/39_Jimmy_Carter.jpg,/images/vice_presidents/U.S_Vice-President_Walter_Mondale.jpg,/images/time_persons/800px-DengXiaoping.jpg,/images/cars/1978.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1979,Jimmy Carter,Walter Mondale,107.94,2292%,$0.83 ,$0.40 ,$0.88 ,"$71,800 ","Chevrolet Corvette $12,313",N/A,Pittsburgh Pirates,Pittsburgh Steelers,Jennifer,Michael,The Deer Hunter,"Jon Voight, Coming Home","Jane Fonda, Coming Home",Pittsburgh Pirates,Ruhollah Khomeini,Goat,"""Good Times"" Chic","""My Sharona"" The Knack",/images/actors/1979.jpg,/images/actresses/1979.jpg,/images/movies/1979.jpg,/images/presidents/39_Jimmy_Carter.jpg,/images/vice_presidents/U.S_Vice-President_Walter_Mondale.jpg,/images/time_persons/ruholah.JPG,/images/cars/1979.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1980,Jimmy Carter,Walter Mondale,135.76,1802%,$1.08 ,$0.52 ,$1.22 ,"$76,400 ","Pontiac Firebird $6,132",N/A,Philadelphia Phillies,Pittsburgh Steelers,Jennifer,Michael,Kramer vs. Kramer,"Dustin Hoffman, Kramer vs. Kramer","Sally Field, Norma Rae",Philadelphia Phillies,Ronald Reagan,Monkey,"""Let's Get Serious"" Jermaine Jackson","""Call Me"" Blondie",/images/actors/1980.jpg,/images/actresses/1980.jpg,/images/movies/1980.jpg,/images/presidents/39_Jimmy_Carter.jpg,/images/vice_presidents/U.S_Vice-President_Walter_Mondale.jpg,/images/time_persons/1983_Reagan.jpg,/images/cars/1980.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1981,Ronald Reagan,George H.W. Bush,122.55,2007%,$1.11 ,$0.52 ,$1.35 ,"$83,000 ","Cadillac Eldorado $19,700",N/A,Los Angeles Dodgers,Oakland Raiders,Jennifer,Michael,Ordinary People,"Robert De Niro, Raging Bull","Sissy Spacek, Coal Miner's Daughter",Los Angeles Dodgers,Lech Walesa,Rooster,"""Endless Love"" Diana Ross and Lionel Richie","""Bette Davis Eyes"" Kim Carnes",/images/actors/1981.jpg,/images/actresses/1981.jpg,/images/movies/1981.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1981.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1982,Ronald Reagan,George H.W. Bush,140.64,1736%,$1.12 ,$0.53 ,$1.28 ,"$83,900 ","Honda Civic wagon $7,517.85",N/A,St Louis Cardinals,San Francisco 49ers,Jennifer,Michael,Chariots of Fire,"Henry Fonda, On Golden Pond","Katharine Hepburn, One Golden Pond",St Louis Cardinals,The Computer,Dog,"""That Girl"" Stevie Wonder","""Physical"" Olivia Newton-John",/images/actors/1982.jpg,/images/actresses/1982.jpg,/images/movies/1982.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1982.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1983,Ronald Reagan,George H.W. Bush,164.93,1466%,$1.12 ,$0.54 ,$1.23 ,"$89,800 ","Average cost of a new car $6,116",N/A,Baltimore Orioles,Washington Redskins,Jennifer,Michael,Gandhi,"Ben Kingsley, Gandhi","Meryl Streep, Sophie's Choice",Baltimore Orioles,Ronald Reagan & Yuri Andropov,Pig,"""Sexual Healing"" Marvin Gaye","""Every Breath You Take"" The Police",/images/actors/1983.jpg,/images/actresses/1983.jpg,/images/movies/1983.jpg,/images/presidents/40_Ronald_Reagan.jpg,"/images/vice_presidents/George_H._W._Bush,_Vice_President_of_the_United_States,_official_portrait.jpg",,/images/cars/1983.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
